순위,ISBN,상품번호,상품명,정가,판매가,YES포인트,저자,출판사,설명,할인율(%),설명길이
1,9791191114768,144021119,단 한 번의 삶,16800,15120,840,김영하 저,복복서가,"내 의지와 무관하게 시작된 삶이라는 사건
예측 불가하고 불공평하고 질서 없는 진짜 인생을 사유하다

“때로 어떤 예감을 받을 때가 있다. 
아, 이건 이 작가가 평생 단 한 번만 쓸 수 있는 글이로구나.
내겐 이 책이 그런 것 같다.” (김영하)

『여행의 이유』 이후 6년 만의 신작 산문
- 오직 한 번만 쓸 수 있는, 나의 삶에 대하여

김영하가 신작 산문 『단 한 번의 삶』을 출간했다. 60만 명이 넘는 독자의 사랑을 받은 『여행의 이유』 이후 6년 만에 선보이는 산문집으로, 유료 이메일 구독 서비스 ‘영하의 날씨’에 2024년 연재되었던 글을 대폭 수정하고 다듬어 묶었다. ‘영하의 날씨’는 초기 구독자의 초대로만 가입이 가능한 서비스로 화제를 모으며 연재 당시 뜨거운 호응을 얻었다.

『단 한 번의 삶』은 작가의 지난 산문들보다 더 사적이고 한층 내밀하다.",10.0,432
2,9791141609399,144526932,여학교의 별 4,8500,7650,420,"와야마 야마 글,그림/현승희 역 ",문학동네,"봄과 함께 돌아온 『여학교의 별』 가장 새로운 이야기!

여름방학에도 호시와 동료 교사들은 변함없이 출근 신세. 하지만 처음 보는 어린이와 나타난 고바야시 선생님과 사복 차림으로 학교에 쳐들어온 학생들, 살짝 별난 졸업앨범 촬영까지 더해진 나리모리의 여름방학은 역시 남다르다. 휴일에 안경점에서 집합하게 된 선생님들과 운동을 시작한 나카무라 선생님의 번외편까지.",10.0,202
3,9791194368175,142876017,듀얼 브레인,21000,18900,1050,이선 몰릭 저/신동숙 역,상상스퀘어,"*** 〈뉴욕 타임스〉 베스트셀러
*** 〈이코노미스트〉 선정 2024년 올해의 책
*** 아마존 선정 2024년 과학 분야 올해의 책

?듀얼 브레인?은 AI 시대를 살아가기 위해 꼭 읽어야 할 필독서다. 저자 이선 몰릭은 〈타임〉에서 선정한 ‘인공지능 분야에서 가장 영향력 있는 인물’ 중 한 명이다. 여러 AI 기업에 자문을 제공하고, 와튼 스쿨에서 교육에 AI 활용을 접목하는 등 다양한 영역에서 영향력을 발휘하고 있다. 그런 저자가 생성형 AI를 둘러싼 모든 것에 관한 최고의 책을 집필했다. 이 책은 AI를 둘러싼 장밋빛 미래와 종말론의 소음을 뚫고, AI라는 동료와 함께 새로운 세상에 적응하는 방법이 무엇인지 알려 주는 실용적인 관점에서 접근한다. 챗GPT를 비롯한 LLM의 특징과 한계에 관해 명확히 알려 주고, AI를 실용적으로 활용하기 위한 원칙과 방법을 설명한다. 그리고 AI가 우리의 미래를 어떻게 바꿀 수 있을지, 그 가능성을 전문적인 시각에서 분석한다.",10.0,492
4,9791193842287,142687238,어른의 품격을 채우는 100일 필사 노트,20000,18000,1000,김종원 저,청림Life,"“마흔 이후 삶의 품격은 인생을 살아가는 태도에서 나온다”

120만 독자의 멘토 김종원 작가가 전하는 
삶을 관통하는 조언과 위로의 문장들

오랜 시간 동안 필사를 강조한 120만 독자의 멘토 김종원 작가가 지난 40대를 돌아보며 ‘진정한 어른이 되기 위해서 무엇이 필요한가’에 대한 자신의 진솔한 생각을 단 한 권의 필사책으로 집필했다. 『어른의 품격을 채우는 100일 필사 노트』는 저자가 20년간 연구한 철학을 토대로, 저자의 경험에서 끌어올린 조언과 위로를 아낌없이 담았다. 이 책을 통해 독자는 인간관계, 처세술, 감정 관리 등 우리의 삶을 관통하는 지혜를 직접 필사하며 얻을 수 있으며, 10일 단위로 저자가 던지는 인생 질문을 통해 삶을 점검하고 방향성을 재정립할 수 있다.",10.0,385
5,9788936434120,13137546,소년이 온다,15000,13500,750,한강 저,창비,"말라파르테 문학상, 만해문학상 수상작 
우리 시대의 소설 『소년이 온다』 출간 10주년 기념 특별한정판 

2014년 만해문학상, 2017년 이탈리아 말라파르테 문학상을 수상하고 전세계 20여개국에 번역 출간되며 세계를 사로잡은 우리 시대의 소설 『소년이 온다』를 출간 10주년을 맞아 특별한정판으로 새롭게 선보인다. 이 작품은 『채식주의자』로 인터내셔널 부커상을 수상한 한강 작가에게 “눈을 뗄 수 없는, 보편적이며 깊은 울림”(뉴욕타임즈), “역사와 인간의 본질을 다룬 충격적이고 도발적인 소설”(가디언), “한강을 뛰어넘은 한강의 소설”(문학평론가 신형철)이라는 찬사를 선사한 작품으로, 그간 많은 독자들에게 광주의 상처를 깨우치고 함께 아파하는 문학적인 헌사로 높은 관심과 찬사를 받아왔다.",10.0,390
6,9791169851053,136298166,어른의 행복은 조용하다,17800,16020,890,태수 저,페이지2북스,"행복을 찾는 방법이 아니라
불행에 대한 수비력을 길러주는
58가지 인생 이야기

《1cm 다이빙》, 《홈 in 홈》으로 많은 사랑을 받았던 에세이스트 태수가 2년 만의 신작 《어른의 행복은 조용하다》로 돌아왔다. 이번 신작에서 저자 태수는 그동안 선보였던 이야기보다 한층 성숙하고 현명하게 삶의 행복에 가까워지는 방법에 대해 이야기한다. 새로운 것, 짜릿한 것, 남들보다 높은 곳에서 행복하고 싶어 발버둥치는 사람들에게 행복은 꼭 그런 데에만 있는 게 아니라 불행해지지 않는 것에서부터 출발한다고 조용히 일러준다.

《어른의 행복은 조용하다》는 요란한 세상에서도 흔들리지 않고 내 삶을 살아가는 튼튼하고 단단한 태도를 담아냈다. 시끌벅적 기쁜 일을 찾아다니기보다도, 울 일이 없고 별다른 나쁜 일이 없는 하루를 만들어야 한다고 강조한다. 그랬을 때에야 비로소 진정한 행복이 우리 곁에 온다는 사실을 다시 한번 일깨워준다.

이 책을 먼저 읽은 독자들의 반응 역시 뜨겁다.",10.0,487
7,9788954682152,103495056,작별하지 않는다,16800,15120,840,한강 저,문학동네,"무엇을 생각하면 견딜 수 있나.
가슴에 활활 일어나는 불이 없다면.
기어이 돌아가 껴안을 네가 없다면.

이곳에 살았던 이들로부터, 이곳에 살아 있는 이들로부터
꿈처럼 스며오는 지극한 사랑의 기억

2016년 『채식주의자』로 인터내셔널 부커상을 수상하고 2018년 『흰』으로 같은 상 최종 후보에 오른 한강 작가의 5년 만의 신작 장편소설. 2019년 겨울부터 이듬해 봄까지 계간 [문학동네]에 전반부를 연재하며 큰 관심을 모은 작품으로, 『소년이 온다』(2014), 『흰』(2016), ‘눈’ 연작(2015, 2017)을 통해 어둠 속에서도 한줄기 빛을 향해 나아가는 인간의 고투와 존엄을 그려온 한강 문학이 도달한 눈부신 현재를 보여준다. 오래지 않은 비극적 역사의 기억으로부터 길어올린, 그럼에도 인간을 끝내 인간이게 하는 간절하고 지극한 사랑의 이야기가 눈이 시리도록 선연한 이미지와 유려하고 시적인 문장에 실려 압도적인 아름다움으로 다가온다.",10.0,476
8,9788998441012,8759796,모순,13000,11700,650,양귀자 저,쓰다,"초판이 나온 지 벌써 15년이 흘렀지만 이 소설 『모순』은 아주 특별한 길을 걷고 있다. 그때 20대였던 독자들은 지금 결혼을 하고 30대가 되어서도 가끔씩 『모순』을 꺼내 다시 읽는다고 했다. 다시 읽을 때마다 전에는 몰랐던 소설 속 행간의 의미를 깨우치거나 세월의 힘이 알려준 다른 해석에 놀라면서 “내 인생의 가장 소중한 책 한 권”으로 꼽는 것을 주저하지 않는다. 『모순』이 특별한 것은 대다수의 독자들이 한 번만 읽고 마는 것이 아니라 적어도 두 번, 혹은 세 번 이상 되풀이 읽고 있다는 사실에 있다.

『모순』의 주인공은 25세의 미혼여성 안진진. 시장에서 내복을 팔고 있는 억척스런 어머니와 행방불명의 상태로 떠돌다 가끔씩 귀가하는 아버지, 그리고 조폭의 보스가 인생의 꿈인 남동생이 가족이다. 여기에 소설의 중요 인물로 등장하는 이모는 주인공 안진진의 어머니와는 일란성 쌍둥이로 태어났지만 인생행로는 사뭇 다르다.",10.0,464
9,9791193506516,126590468,초역 부처의 말,17800,16020,890,코이케 류노스케 저/박재현 역,포레스트북스,"“나는 부처에게서 인생의 해답을 찾았다.”_쇼펜하우어
현대어로 재해석된 부처의 말

인내심을 가져라.
모든 것은 적당한 때에
결국, 네게 올 테니.

언젠가 너는 
네가 있어야 할 곳에서 
너와 함께할 운명인 사람과 
네가 해야 할 일을 하며 
살게 될 것이다.
--- 「부처」

2500년 동안 사람들에게 사랑받으며 회자되어 온 부처의 말을 코이케 류노스케 스님이 현대어로 재해석해 책으로 출간했다. 간결하게 축약된 핵심만을 담은 부처의 메시지는, 마음이 약해지고 어려움에 처한 사람들에게 힘과 용기를 불어넣어 준다. 부처의 말이 간결하듯 이 책의 기획 의도 역시 매우 단순하다. 저자는 서문에 독자들이 이 책을 손에 들고 어디를 펼치더라도 그곳에 적힌 부처의 말이 스르륵 마음을 물들이고, 어느 순간 그 속에서 기분 좋은 바람이 일어나 더 좋은 방향으로 이끌어 주길 바란다고 썼다.

독일의 철학자인 쇼펜하우어는 동양의 철학에 깊이 매혹되었던 철학자이다.",10.0,480
10,9791141602024,144248311,2025 제16회 젊은작가상 수상작품집,7700,6930,380,"백온유,강보라,서장원,성해나,성혜령,이희주,현호정 공저",문학동네,"“오늘 한국문학이 마침내 도달한 가장 높은 끓는점”
우리의 체온을 뜨겁게 달구는 일곱 편의 열망들

한국문학의 새로운 미래를 함께하고자 2010년 제정된 젊은작가상이 올해로 어느덧 16회를 맞이했다. 데뷔 십 년 이내의 젊은 작가들이 한 해 동안 발표한 소설 가운데, 지금 여기에서 창발하는 문제의식을 가장 예리한 시선으로 포착해낸 작품에 주목하고자 마련된 젊은작가상은 지난해까지 모두 66명에 이르는 새로운 얼굴을 소개하며 한국문학에 생기를 더했다. 올해 젊은작가상에 이름을 올린 수상 작가는 백온유 강보라 서장원 성해나 성혜령 이희주 현호정이다. 이 상의 수상자로는 처음 이름을 올린 백온유 강보라 서장원 이희주 네 명의 등장이 반갑고, 특히 젊은작가상 첫 수상을 대상으로 장식한 백온유의 성취가 뜻깊다. 2023년 수상자인 성혜령 현호정, 2024년 수상자인 성해나의 재등장은 현재 한국문학을 이끌어가는 주역이 누구인지를 가늠케 해준다.",10.0,471
